IncidentDetailSummary,Source,Subject
"Sergio Carlos Pérez Vázquez &lt;enlace.asf.campeche@gmail.com&gt;

el presente ticket es enn razón que se recibio llamada de la Secretaría de la Contraloría del Estado de Campeche,

indican lo siguiente:

me permito enviarle la impresión de la pantalla con la situación que se está presentando en la carga al Buzon Digital derivado de la Aud 560, Cuenta Pública 2023.",Correo-e,demora de carga de Buzón digital
"se solicita la revisión del teléfono con número de inventario 29241 del Mtro. José Arturo Lozano Enríquez, Director General de Auditoría del Gasto Federalizado A, ya que suena al mismo tiempo que la extensión de la secretaría con no. de inventario 32620.

MAC: 1C17D3C28F9E

INVENTARIO:29241

PISO 4

EDIFICIO A",Correo-e,Se solicita revisión de los teléfonos 29241 y 32620
Reporta falla en acceso a Video,Teléfono,Reporta falla en acceso a Video
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema Live Link, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas.",Correo-e,problemas de acceso  a Livelink
Problemas con acceso livelink no puede ingresar,Teléfono,Problemas con acceso livelink
Problemas con acceso livelink no puede accesar,Teléfono,Problemas con acceso livelink
Reporta falla de acceso en GlobalProtect,Teléfono,Reporta falla de acceso en GlobalProtect
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema Live Link, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas.",Correo-e,Sin acceso a Livelink
Problemas con eliminador al momento de conectar el equipo con número de inventario 57534 no carga.,Correo-e,Problemas con eliminador no carga.
"Reporta problemas de red en equipo del Dr. Eber Omar Betanzos Torres

PISO 12",Teléfono,Reporta problemas de red en equipo
"Problemas con acceso a aplicaciones de Office 365

incluyendo outlook",Teléfono,Problemas con acceso a aplicaciones de Office 365
"Solicito de su valioso apoyo con la finalidad de poder revisar el equipo de la usuaria Jessica Elizabeth Ramirez, lo anterior derivado de que el equipo arroja el siguiente error:

Número de Inventario: 58468.

deja eliminador",Correo-e,no inicia windows
"Estoy de home office y no me puedo conectar a global protect,",Correo-e,no se puede conectar al global protect
"Se reportan problemas de red en el equipo de cómputo portátil con número de Inv. 56337 de la usuaria ""Montserrat Segura Martinez"" .",Ventanilla,Problemas de red en el equipo de cómputo con Inv. 56337.
"Reporta falla en equipo de escritorio con inventario 39634, no enciende.",Teléfono,"Reporta falla en equipo de escritorio, no enciende."
"Tenemos un error al subir la factura del hospedaje, nos sale el un recuadro con un mensaje de error (adjunto imagen). En estos casos que debemos de hacer.",Correo-e,error al cargar factura
"no pueden enviar informacion por buzon digital en el apartado de respuesta al requerimiento de informacion orden de auditoria

auditoria 448

Gobierno de la Contraloria de Aguscalientes

telefono 449 466 4770

contacto Severa Gonzalez Bustos

correo severa.gonzalez@aguascalientes.gob.mx",Teléfono,no pueden enviar informacion por buzon digital auditoria 448
"Problemas con conexión de GlobalProtect

Inv. 56478",Ventanilla,Problemas con conexion de GlobalProtect
Problemas para visualizar película del campus virtual. inv. 54433,Ventanilla,Problemas para visualizar pelicula del campus virtual.
Reporta falla en LIVELINK,Teléfono,Reporta falla en LIVELINK
Problemas de acceso a LiveLink.,Teléfono,Problemas con LiveLink
No tienen red en equipo de computo en el area de seguridad,Teléfono,No tienen red en equipo de computo en el area de seguridad
"Problemas de acceso a livelink

aparece pantalla de error de acceso

lentitud",Teléfono,Problemas de acceso a livelink
"en el apartado de solicitud de informacion a ejecutores del gasto, no le aparece la unidad ejecutora a la que asignar a pesar de que ya esta dada de alta en administracion de usuarios

auditoria 174

FONACOT

telefono 55 13 45 93 56

jonathan.perez@stps.gob.mx",Teléfono,no aparece unidad ejecutora a la que asignar
"solicita revisar el Livelink, no hay acceso:",Correo-e,no hay livelink
"Se reporta intermitencia en el sistema livelink, por lo que se solicita de su gentil apoyo para llevar a cabo dicha solución.",Correo-e,intermitencia en livelink
"Reporta su cuenta como bloqueada, solicita desbloqueo",Teléfono,"Reporta su cuenta como bloqueada, solicita desbloqueo"
Me están reportando que los vales de préstamo no salen completo al imprimirlos adjunto la imagen escaneada.,Correo-e,vales de préstamo no salen completo al imprimirlos
"Hola, buenas tardes, solicito su apoyo a efecto de verificar la asignación de las auditorías que aparecen en la imagen que se anexa, toda vez que no son temas correspondientes a la jefatura a mi cargo.

Las auditorias de las que soy responsable son las núm. 86, 378 y 379, las cuales se encuentran asignadas correctamente.",Correo-e,error en la asignacion de auditorias en buzon digital
"Por instrucciones del Mtro. Guillermo Dorantes, Secretario Técnico; se solicita de su apoyo para que por favor serevise la conexión del Internet por cable de todo el edificio de linares ya que se encuentra muy lento e intermitente y algunos no pueden visualizar sus carpetas.",Ventanilla,Intermitencia en conexión de red por cable
"respecto de los acuses de entrega de los expedientes de seguimiento correspondientes a la auditoría 257 Estímulos a la Creación Artística, Reconocimientos a las Trayectorias y Apoyo al Desarrollo de Proyectos Culturales entregada en 3ra etapa, te informó que, como se muestra en la imagen adjunta no se muestra en la pantalla de SICSA la constancia de envío y el acuse del expediente correspondiente a las 10 recomendaciones generadas en el informe en comento, aun cuando de forma automática el sistema nos envió (tanto al personal de esta DG como al personal de seguimiento) los correos de confirmación de envío de los expedientes, mismos que te adjuntamos, por lo cual solicitamos tu amable apoyo para que por tu conducto el personal de sistemas nos puedan ayudar a que se vean reflejados los acuses respectivos en el sistema.",Correo-e,"Solicitud""  visualización y descarga de constancias y acuses SICSA de la DGADPP"
Presenta un error de global Protec,Teléfono,Presenta un error de global Protec
"Presenta fallas el mouse del equipo 58235 del uaurio Amel Alcocer.

No funciona el scroll del mouse al deslizarlo.",Teléfono,Presenta fallas el mouse del equipo 58235 del uaurio Amel Alcocer
"Reporte de maletín dañado sin asa

inv: 56767",Ventanilla,Reporte de maletín dañado sin asa
Nos pueden apoyar ya que la usuaria Barbará Gabriela Cabello Huerta no puede conectarse global,Correo-e,Problemas de conexión a global protect
Problemas con conexion de GlobalProtect,Teléfono,Problemas con conexion de GlobalProtect
Problemas de conexión a global protect,Teléfono,Problemas de conexión a global  protect
"Problemas con la hora del equipo laptop, con número de inventario 56847, ya que no esta correcta.",Ventanilla,Problemas con la hora del equipo laptop.
Problemas con conexión de GlobalProtect en equipo con número de Inv. 57470.,Ventanilla,Problemas con conexion de GlobalProtect
Reporta falla para descargar FastCopy desde el Intranet,Teléfono,Reporta falla para descargar FastCopy desde el Intranet
"Por la mañana no pude ingresar desde casa GlobalProtect, por lo que solicito su apoyo para que se pueda revisar el equipo con número de inventario 56498.",Correo-e,no puede ingresar a la vpn
Presenta problemas su telefono Cisco se queda cargando configuración.,Teléfono,Presenta problemas su telefono Cisco se queda cargando configuración.
Presenta problemas no puede abriir aplicaciones de office 365,Ventanilla,Presenta problemas no puede abriir aplicaciones de office 365
"Reporte de maletín dañado de asa rota

inv: 57091",Ventanilla,Reporte de maletín dañado de asa rota
"Comenta que esta de comisión y había podido estarse conectando de manera correcta, pero el día de hoy ya no pudo.",Teléfono,Falla en Global protect
Problemas para navegar en chrome Inve. 58296,Ventanilla,Problemas con chrome
"Se solicita apoyo con la revisión del correo electrónico institucional en la app Outlook en el equipo de cómputo portátil con Inv. 58062 de la usuaria ""Diana Rogerio Romero"" , ya que la usuaria reporta que no le llegan o no puede visualizar todos los correo electrónicos que le envían, a pesar de que si puede observar las notificaciones de la llegada de estos correos.",Correo-e,Revisión de correo electrónico institucional en equipo con Inv. 58062.
"Personal Alcaldia Azcapotzalco reporta que el Ejecutor del gasto no visualiza la opción ""Acciones por solventar"" en Transfer

Auditoria 658

Alcaldia Azcapotzalco

Enlace: Lourdes Posada

Ejecutor: Raul Guzman Franco

Tel: 5525284310

Correo: rg.conagua@gmail.com, dir.comunicacionsocial@azcapotzalco.cdmx.gob.mx",Teléfono,"Personal Alcaldia Azcapotzalco reporta que el Ejecutor del gasto no visualiza la opción ""Acciones por solventar"" en Transfer"
no se puede conectar al global protect Myrna Garcia Vigueras,Teléfono,no se puede conectar al global
Problemas de acceso a la consola de DELL para realizar consulta de diagnotico de equipo,Teléfono,Problemas de acceso a la consola de DELL
"En días recientes he tenido problema para acceder a Global Protect, ya intenté realizar el procedimiento de actualizar credenciales como lo indica el correo electrónico que fue enviado la semana pasada.

Pese a que he borrado mis credenciales, constantemente aparece el siguiente mensaje:",Correo-e,no se puede conectar al global protect
Reporta falla en poder establecer conexión a GlobalProtect,Teléfono,Reporta falla en poder establecer conexión a GlobalProtect
Reporta falla al intentar conectar a GlobalProtect su equipo.,Teléfono,Reporta falla al intentar conectar a GlobalProtect su equipo.
"Solicito de su apoyo para ingresar al servidor VP0504, ya que no se logra conectar y se cierra la ventana del escritorio remoto.",Correo-e,Problema para ingresar al Servidor Remoto
"no visualiza la informacion que le envian por transfer auditoria 372

SENASICA

Leslie Yureimi Rodriguez Cortes

5615082931

leslie.rodriguez@senasica.gob.mx",Teléfono,no visualiza la informacion que le envian por transfer auditoria 372
"Problemas para ingresar al perfil con la contraseña ya que muestra mensaje ""contraseña incorrecta"" aunque se fije.",Correo-e,Problemas para ingresar al perfil con la contraseña.
"auditoria 257 se visualizan los nodos en gris aun cuando ya mandaron la informacion

Secretaria de Cultura

Contacto Maria de los Angeles Lemus Rodriguez

55 41 55 02 00 ext 9229

malemusr@cultura.gob.mx",Correo-e,auditoria 257 se visualizan los nodos en gris
"Problemas con conexión a GlobalProtect

INVENTARIO 51594",Ventanilla,Problemas con conexión a GlobalProtect
Reporta falla de navegación en pagina de ICADEFIS,Ventanilla,Reporta falla de navegación en pagina de ICADEFIS
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema Live Link, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas.",Correo-e,no hay livelink
Problemas con conexión a GlobalProtect,Teléfono,Problemas con conexión a GlobalProtect
Rene Arvizu no se puede conectar al global protect,Teléfono,Rene Arvizu no se puede conectar al global protect
Problemas con conexión a GlobalProtect,Teléfono,Problemas con conexión a GlobalProtect
No puede ingresar al equipo con número de inventario 55109 con su contraseña.,Teléfono,No puede ingresar al equipo con su contraseña
"Agradeceré nos apoyen con el reporte siguiente:

Usuario: Alma Rosa Sanchez Fonseca
Ubicación: Edificio B piso 6
Detalle de la solicitud: Se requiere la verificación de la VPN, puesto que quiso trabajar el fin de semana y lo le permitió conectarse.",Correo-e,verificacion de vpn
"Solicito su apoyo para poder conectarme a la VPN, ya que despliega el siguiente error:",Correo-e,error de conexion a VPN
no se puede conectar al global protect,Teléfono,no se puede conectar al global protect
"Me encuentro fuera de la oficina de ASF, estoy en las instalaciones de la entidad, por lo que solicito su apoyo para solucionar el fallo en la conexión de GlobalP, ¿podrían orientarme para solucionarlo por favor?",Correo-e,no se puede conectar al global protect
Problemas con conexión a GlobalProtect Equipo invetario 57406.,Ventanilla,Problemas con conexión a GlobalProtect
Problemas con conexión a GlobalProtect en el equipo con número de inventario 57236,Correo-e,Problemas con conexión a GlobalProtect
Revisión del equipo 56424 ya que tuvo golpe de parte frontal del Touchpad.,Correo-e,Golpe en el equipo
Problemas para ingresar a cursos muestra mensaje de bloqueo de ventanas emergentes Inv. 52060,Teléfono,Problemas para ingresar a cursos
"Atentamente solicito su apoyo, derivado de que la información que subimos a la fracción XXIX del SIPOT, no permite cargarse en las pestañas correspondientes",Correo-e,fraccion XXIX la informacion no se ver correctamente en las pestañas
´Problemas con conexión a GlobalProtect,Teléfono,´Problemas con conexion a GlobalProtect
Problemas con conexión a GlobalProtect,Teléfono,Problemas con conexión a GlobalProtect
Problemas con conexión a GlobalProtect usuario Andres Lopez Sanchez,Teléfono,Problemas con conexión a globalProtect
Problemas para conectarse a GlobalProtect Número de inventario 57355.,Teléfono,Problemas para conectarse a GlobalProtect
Reporta intermitencia y problemas de acceso a Livelink,Teléfono,Reporta intermitencia y problemas de acceso a Livelink
"usuario Alison Rios Hernandez no visualiza las auditorías asignadas en el PAAF, como se muestra en la siguiente imagen:",Correo-e,"usuario Alison Rios Hernandez no visualiza las auditorías asignadas en el PAAF,"
Se solicita la revisión del equipo 58619 con la tecla (E) desprendida.,Ventanilla,Tecla (E) desprendida
Reporta falla en conexión a Globalprotect,Teléfono,Reporta falla en conexión a Globalprotect
Reporta falla de conexión a Globalprotect,Teléfono,Reporta falla de conexión a Globalprotect
Reporta falla en conexión a GlobalProtect,Teléfono,Reporta falla en conexión a GlobalProtect
Reporta falla en conexión a GlobalProtect,Teléfono,Reporta falla en conexión a GlobalProtect
Problemas para ingresar al equipo inventario 54827 con la contraseña del usuario Hector Mauricio Molina Meza.,Ventanilla,Problemas para ingresar al equipo.
"Me podrías ayudar a generar las pestañas que se encuentran en el sitio de armonización contable, en virtud de que se visualizan de manera incorrecta.",Correo-e,ayuda pagina de internet
Presenta fallas el equipo de Yadira Leticia Sanchez se queda pasmada al abrir word,Ventanilla,Presenta fallas el equipo de Yadira Leticia Sanchez se queda  pasmada al abrir word
"Se solicita apoyo para revisar la app Microsoft Teams en el equipo de cómputo portátil con número de Inv. 51255 del usuario ""Salvador Cotoñeto Reyes"", ya que tiene problemas con dicha aplicación porque no le es posible realizar videollamadas o bien, estas se desconectan en cuanto se enlaza.",Correo-e,Problemas con la app Microsoft Teams en equipo con Inv. 51255.
"Reporta que no se puede conectar a la vpn, la usuaria se encuentra en home office.",Teléfono,Reporta que no se puede conectar a la vpn
"¿EL SISTEMA LIVELINK NO FUNCIONA EL DÍA DE HOY? NO HE PODIDO ACCESAR Y SOLO ME DICE:

No se ha podido conectar al servidor. Es posible que el servidor Livelink estÃ© inactivo o configurado incorrectamente.
IntÃ©ntelo de nuevo. Si el problema persiste, pÃ³ngase en contacto con el administrador de Livelink.
No se ha podido conectar al servidor localhost[127.0.0.1]:2099.

ESPERO SU SOLUCIÓN, MUCHAS GRACIAS.",Correo-e,problemas de conexión en livelink
Nos pueden apoyar ya que el usuario Jose Ortega Avilez no tiene acceso al global,Correo-e,jose ortega no se puede conectar al global protect
"solicito su apreciable apoyo a afecto de que se pueda revisar mi estación de trabajo identificada con el número 06AN-133 (Piso 6, ala Sur, Chedraui) ya que, desde hace varios meses, falla la conexión a internet a través del cable de red (azul) proporcionado, sin que se pueda detectar cual es la falla de origen.

inv:5706

se verifica equipo y conexión ethernet tiene un alambre de conexión doblado internamente",Correo-e,Problemas de conexion de red ethernet
